url,company_name,company_location,company_type,company_type,company_education
/job_detail/8b9fc2f7a5fa87861XN43t66F1E~.html,国美金控,北京 朝阳区 朝外,移动互联网,1000-9999人,本科
/job_detail/18a43d5fd119c2621X173ty7ElE~.html,景星科技,北京 朝阳区 建国路,互联网,0-20人,本科
/job_detail/136434787437e0b51XB83Nm5GVI~.html,米可世界,北京 朝阳区 三元桥,在线教育,100-499人,本科
/job_detail/b8c5f5b27f83194b1HR80ty9GFU~.html,数据堂,北京 海淀区 中关村,互联网,20-99人,本科
/job_detail/f1827dd19b8c36581XJ80tq0E1A~.html,爱选科技,北京 朝阳区 国贸,计算机软件,20-99人,本科
/job_detail/4730be64ab1d25781Xd40tq-E1U~.html,诸葛找房网,北京 朝阳区 潘家园,移动互联网,1000-9999人,本科
/job_detail/5ae1529bc6edacc51XJ63Nm9FVo~.html,兆百特,北京 朝阳区 望京,在线教育,1000-9999人,本科
/job_detail/f87af9e3ea1e52581HR72N-1F1Y~.html,积云教育,北京 昌平区 马池口,北京 海淀区 紫竹桥,本科,大专
/job_detail/9186d1471234626f1n1829-7E1I~.html,北京字节跳动,北京 海淀区 苏州街,北京 海淀区 北下关,本科,本科
/job_detail/b0bc9b3c401d67021HR_2tW-F1c~.html,神州网信,北京 海淀区 知春路,北京 海淀区 五道口,本科,本科
/job_detail/0d28b774cc34b4ea1XNy2dS-ElA~.html,百乘金控,北京 朝阳区 大屯,北京 海淀区 学院路,本科,本科
/job_detail/933bb15066217f1d1HR83Nq5EVE~.html,宇信科技,北京 朝阳区 安贞,北京 朝阳区 望京,本科,大专
/job_detail/b3053cf2ab2bc33b1XR40ti6FVs~.html,高德地图,北京 朝阳区 望京,北京 朝阳区 望京,本科,本科
/job_detail/5cfe3a7bb92107e41XVy3NW1Flc~.html,光环国际,北京  ,北京 朝阳区 北苑,本科,本科
/job_detail/07c73eedde9c49a21Xd83tu-FVI~.html,学堂在线,北京 海淀区 五道口,北京 海淀区 知春路,本科,本科
/job_detail/7ccc7a5ce5dac6231X192di7ElQ~.html,数盟网络,北京 海淀区 知春路,北京 海淀区 五道口,本科,本科
/job_detail/96dd0af21855ad611XRz2t66ElA~.html,途游游戏,北京 朝阳区 北苑,北京  ,本科,本科
/job_detail/3ca7802c2c678fb71XJ839q7GVA~.html,阿里集团,北京 朝阳区 望京,北京 朝阳区 望京,本科,本科
/job_detail/4d650f30b515cd5d1XV_0tS6FlM~.html,猿辅导,北京 朝阳区 望京,北京 朝阳区 安贞,大专,本科
/job_detail/b5bd88dfd8e7cbf21nJ80tm0ElA~.html,志翔科技,北京 海淀区 学院路,北京 朝阳区 大屯,本科,本科
/job_detail/aee16c06275b074d1XB-0t29FFA~.html,Veritas,北京 海淀区 五道口,北京 海淀区 知春路,本科,本科
/job_detail/27f6d6f9205cd57d1XJy3NS7E1Y~.html,中电信用,北京 海淀区 北下关,北京 海淀区 苏州街,本科,本科
/job_detail/e43058971f8d9d911XJz2ti7FlY~.html,柏思睿特,北京 海淀区 紫竹桥,北京 昌平区 马池口,大专,本科
/job_detail/c12a6c0d031a51fb1HR62d2_GFo~.html,传智播客,在线教育,北京 朝阳区 望京,本科,1000-9999人
/job_detail/ae6f88e5615d4ef31XVz3tW5E1c~.html,LinkDoc,移动互联网,北京 朝阳区 潘家园,本科,1000-9999人
/job_detail/b0be5e62823ad3581X173tS9FFs~.html,客知音,计算机软件,北京 朝阳区 国贸,本科,20-99人
/job_detail/8d0a0236e17417431nx829q0Els~.html,星澜科技,互联网,北京 海淀区 中关村,本科,20-99人
/job_detail/511be067b40cde511HR_0t-7GFQ~.html,积云教育,在线教育,北京 朝阳区 三元桥,本科,100-499人
/job_detail/90ffc177ad9582401XZ72t60GFY~.html,卓越易升,互联网,北京 朝阳区 建国路,本科,0-20人
/job_detail/31145433436c236d1HR609-9FlI~.html,东信北邮,移动互联网,北京 朝阳区 朝外,本科,1000-9999人
