job_desc,team_info,company_welfare,company_info
"人工智能实验室-机器人中间件工程师/技术专家-北京岗位描述:1) 负责机器人系统平台 SDK 设计和接口封装2) 参与视觉算法相关服务封装3) 负责机器人自主行为框架设计与实现4) 负责产品业务相关的行为设计和状态机实现岗位要求:1) 精通 C++或者 Python2) Robotics 或相关专业,精通 ROS,熟练掌握 gazebo/rviz/moveit/movebase 等基础知识3) 在以下一个或多个方面具有丰富经验和专长:AI 搜索算法、曲线特点及拟合、状态机设计、基于 Learning 的决策控制、场景理解与行为预测4) 熟悉多线程开发,熟悉设计模式,参与过大型项目的系统架构搭建5) 具备计算机视觉相关领域经验优先6) 对新技术有持续的技术热情,关注领域新技术的发展,有前瞻性;个性乐观开朗,逻辑性强,善于和各种背景的人合作",,"Linux,Python,系统架构,",阿里巴巴集团的使命是让天下没有难做的生意。我们旨在赋能企业改变营销、销售和经营的方式。我们为商家、品牌及其他企业提供基本的互联网基础设施以及营销平台，让其可借助互联网的力量与用户和客户互动。我们的业务包括核心电商、云计算、数字媒体和娱乐以及创新项目和其他业务。我们并通过子公司菜鸟网络及所投资的关
1、负责新产品的服务端研发；2、负责产品业务的业务抽象、技术方案设计和实现；3、负责在线大流量高并发系统设计和性能调优；4、主要实现语言为Golang／Python。职位要求1、统招本科及以上学历，计算机、通信等相关专业者优先；2、有扎实的编程能力和代码品位，良好的数据结构和算法基础； 3、能熟练使用一种编程语言，包括不限于Golang/Python/Java/PHP/C++/C；4、熟悉Mysql、Redis、MQ等常用WEB组件，并了解基本原理；5、理解常规的架构设计思想，包括不限于服务化、异步、高可用、可扩展等；6、有良好的可靠性意识，包括不限于监控、容灾等；7、具有良好的业务抽象和业务建模能力；8、有良好的团队沟通和协作能力，有良好的责任心；9、有良好的自取力和学习能力；,,"后端开发,数据库,Linux,",字节跳动，是全球第一家将人工智能应用到主产品的科技公司。短短6年，我们从最初的一个;今日头条;，已经发展为拥有;抖音;、;西瓜视频;、;火山小视频;、;FaceU;等十几款
软件研发工程师（平台研发方向） 岗位描述： - 设计、开发百度核心搜索超大规模服务集群自动化管理平台  - 建立服务管理规范，清晰定义系统管理的业务模型、数据模型、外部接口 - 通过软件系统实现服务变更自动化控制、故障自动修复、性能监测、容量评估等工作 - 探索、研究超大规模分布式服务运维智能化、自动化技术和方向   职位要求： - 至少熟练掌握一门开发语言（Python/Go/C++/Java/PHP等），并且具备快速技术迁移能力  - 对数据结构、算法设计有较为深刻的理解 - 有很强的分析问题和解决问题的能力，具备良好的学习能力、沟通能力和团队合作精神 - 计算机、自动化等相关专业本科及以上学历,百度核心搜索实时响应数十亿检索，在这背后，我们负责打造业界领先的流量接入系统、率先实现全站HTTPS；掌握着高可用性系统架构设计的独门秘技，这就是我们&mdash;&mdash;百度核心搜索运维团队。这是一支硕博比例超过60%的团队；这是一支热爱互联网、致力于成为行业技术翘楚的团队，欢迎你加入我们！,"后端开发,Linux,Python,","百度（纳斯达克：BIDU），全球最大的中文搜索引擎、最大的中文网站。1999年底,身在美国硅谷的李彦宏看到了中国互联网及中文搜索引擎服务的巨大发展潜力，抱着技术改变世界的梦想，他毅然辞掉硅谷的高薪工作，携搜索引擎专利技术，于 2000年1月1日在中关村创建了百度公司。;百度&rdqu"
岗位职责：1、负责风控系统平台的开发和架构优化；2、负责风控模型上线相关的开发和代码质量把控，及线上模型迭代；3、风控系统基础数据平台建设，包括上下游数据的交互、特征提取等；4、数据质量和线上业务数据监控系统建设、业务日志分析。任职资格：1、 有大数据相关开发经验和一定的工程架构经验，经理过比较成熟互联网平台的开发建设；2、至少精通一门开发语言，Python优先，C++/Java等不限；3、有广告后台系统、推荐系统的开发经验优先；4、有良好的团队合作意识，积极主动的工作态度，快速学习能力和较好的沟通表达能力。,,"Python,系统集成,",阿里巴巴网络技术有限公司（简称：阿里巴巴集团）是以曾担任英语教师的马云为首的18人，于1999年在杭州创立，他们相信互联网能够创造公平的竞争环境，让小企业通过创新与科技扩展业务，并在参与国内或全球市场竞争时处于更有利的位置。        阿里巴巴集团经营多项业务，另外也从关联公司
任职资格任职要求 1. 3年以上 Python 编程经验，Python 架构系统经验者优先； 2. 精通 Python 语言，熟悉 Python 多进程应用开发，熟悉常用框架，Flask 等； 3. 熟悉 MySQL、Redis 等常用的存储引擎，有性能优化经验； 4. 熟悉 Linux 环境，熟悉基本的 shell 命令。 5. 有常用系统监控工具搭建经验者优先，Prometheus、Zabbix 等； 6. 有主流视频框架 FFmpeg、OpenCV 等开发经验者优先； 7. 善于团队合作与管理，对新技术有强烈的探索欲望，责任心强，能够承受工作压力，有强烈的责任心。工作职责Python开发工程师 岗位职责 1. 负责人脸识别通行解决方案系统的开发和维护。 2. 根据需求制定技术方案，项目计划，并制定相应测试方案和执行； 3. 负责分析业务领域比较复杂的问题，提出解决方案； 4. 负责对现有系统进行优化，重构不合理的代码。,一波清北大的靠谱队友，巨大的成长空间。,"MYSQL,Python,",旷视科技成立于2011年，是一家以机器视觉为核心的人工智能企业，自主研发的视觉感知网络、智能硬件、智能云服务等产品技术居世界领先水平。旷视科技的人工智能云平台（Face++人工智能开放平台）与智能物联平台（Megvii Sensor Network）两大核心产品，深入移动互联网，金融，政府，安防，电
"技能要求：Python职位亮点：量化投资方向，量化投资平台搭建技能要求：Python，numpy ，dataframe，MongoDB职位描述:1.Python程序开发，前端页面（NodeJS）开发；2.量化交易平台开发与维护: 包括平台的完善；功能扩充；策略组合回测系统的开发和完善；3.配合策略研究员，编写策略；4时间序列数据的收集、维护、清洗和一致性检测；5.对算法和性能的优化，有处理海量数据的经验为佳。 职位要求：1.全日制本科及以上学历，金融，计算机，应用数学等相关专业，通过英语四级；2.精通Python,三年以上Python开发经验，熟悉numpy、，dataframe，MongoDB等；3.有前端页面javascript开发经验，熟悉常用开源框架；&rsquo;4.对量化金融熟悉，对时间序列数据库有实践经验；5相关金融量化系统开发经验优先；6责任任心强，关注细节。",我们是一个充满能量的团队，在这里可以尽情的发挥您的潜能，欢迎您的加盟！,"python爬虫,Javascript,",中方信富投资管理咨询有限公司是一家面向国内和国际资本市场，从事资本市场投资咨询及相关服务业务的全国性投资管理咨询公司。是经中国证监会批准具备证券投资咨询执业资格的专业公司（资格证书编号：z x 0121）        我公司自1997年正式成立以来，始终恪守;执
1. 有音视频编解码相关背景2. 熟悉ffmpeg，x264，x265，能熟练使用这些工具3. 熟悉hls，dash等流媒体协议4. 熟悉python或go开发5. 熟悉docker、mesos、k8s5. 有视频转码后台业务开发经验,,"视频编解码,视频算法,Python,",To become a Technology-based Entertainment Giant做一家以科技创新为驱动的伟大娱乐公司品牌关键词  品质 青春 时尚爱艺奇公司简介爱奇艺，中国高品质视频娱乐服务提供者。2010年4月22日正式上线，积极推动产品、技术、内容、营
负责产品核心模块设计开发工作任职要求：计算机相关专业熟练web开发相关技术栈熟练掌握python编程语言,,"Web前端,Python,",拿云体育是全球格斗行业综合服务平台，深耕体育行业7年，旗下拥有3个品牌：格斗迷、7&middot;Fight、PowerFans。      格斗迷是拿云体育旗下媒体社区和赛事服务平台，目前是中国最大的格斗类垂直媒体和拳迷社区，报道全球顶级格斗赛事，领域覆盖MMA、自由搏击、泰拳、散打
"核心业务（高级）开发工程师 北京 / 社招 / 经验1-3年 / 学历本科及以上职位描述：1、负责今日头条相关产品的后台业务研发 2、负责在线大流量高并发系统设计 3、主要实现语言为Python／Golang职位要求：1、本科及以上学历，计算机、通信等相关专业2、有扎实的编程能力，有优秀的设计和代码品位 3、深刻理解计算机原理,有良好的数据结构和算法基础4、熟悉Mysql 、Memcache、Redis、消息队列等常用WEB组件，并有能力进行定制化改进5、有高并发服务设计和实现经验优先6、有较好的产品意识优先7、积极乐观，责任心强，工作认真细致，具有良好的团队沟通与协作能力8、热爱编程，有较强的学习能力，有强烈的求知欲、好奇心和进取心 ，能及时关注和学习业界最新技术",,"后端开发,Python,Golang,",字节跳动，是全球第一家将人工智能应用到主产品的科技公司。短短6年，我们从最初的一个;今日头条;，已经发展为拥有;抖音;、;西瓜视频;、;火山小视频;、;FaceU;等十几款
"岗位职责：1、负责Python课程体系设计和完善；2、负责Python课程爬虫、数据分析、网站开发的讲授；3、完成领导交办的其它工作。任职要求：1. 至少2年以上Python编程经验；2. 熟练运用Python语言及常用模块；3. 熟练django等常用开发框架；4. 熟练Mysql, oracle数据库中任何一种；5. 熟练HTTP, Javascript, HTML。6.熟练树莓派设备python开发7.熟练python机器学习实战8.精通Linux下Shell、Python两种脚本语言；9.精通基于Linux应用程序的管理和配置，如Tomcat、Redis、Zookeeper、Jdk、Nginx、LVS、FastDFS、GFS等上班时间：朝九晚六，周末双休福利待遇：五险一金，带薪年假（15天），晋升空间，年度旅游，管理扁平化，总体来说：钱多事少离家近，赶快加入我们吧！",北京千锋互联科技有限公司，公司员工700多人，总部在北京，目前已在深圳，上海，郑州，广州，大连，武汉，成都，西安，杭州，青岛，重庆，长沙建立分公司。千锋旗下现有教育培训，人才服务，项目研发，创业孵化等业务。     朝九晚六，双休，五险一金，晋升空间大，年度旅游，地铁周边，交通便利,"Python,机器学习,数据挖掘,",北京千锋互联科技有限公司
